[2026-01-21T02:35:55.458806+00:00] agent started NMS_BASE=http://192.168.137.3:8000 poll=5s limit=10
[2026-01-21T02:35:55.459215+00:00] scanner_name.txt missing/empty; will attempt registration
[2026-01-21T02:36:01.765139+00:00] still unassigned; retry in 10s
[2026-01-21T02:36:18.031182+00:00] still unassigned; retry in 10s
[2026-01-21T02:36:34.392359+00:00] still unassigned; retry in 10s
[2026-01-21T02:36:50.686323+00:00] still unassigned; retry in 10s
[2026-01-21T02:37:07.002673+00:00] still unassigned; retry in 10s
[2026-01-21T02:37:23.265925+00:00] still unassigned; retry in 10s
[2026-01-21T02:37:39.484221+00:00] still unassigned; retry in 10s
[2026-01-21T02:37:55.750464+00:00] still unassigned; retry in 10s
[2026-01-21T02:38:11.964018+00:00] still unassigned; retry in 10s
[2026-01-21T02:38:28.170486+00:00] still unassigned; retry in 10s
[2026-01-21T02:38:44.381605+00:00] still unassigned; retry in 10s
[2026-01-21T02:39:00.599072+00:00] still unassigned; retry in 10s
[2026-01-21T02:39:16.817725+00:00] still unassigned; retry in 10s
[2026-01-21T02:39:33.054046+00:00] still unassigned; retry in 10s
[2026-01-21T02:39:49.271586+00:00] still unassigned; retry in 10s
[2026-01-21T02:40:05.540999+00:00] still unassigned; retry in 10s
[2026-01-21T02:40:21.752298+00:00] still unassigned; retry in 10s
[2026-01-21T02:40:37.958963+00:00] still unassigned; retry in 10s
[2026-01-21T02:40:54.165866+00:00] still unassigned; retry in 10s
[2026-01-21T02:41:10.381406+00:00] still unassigned; retry in 10s
[2026-01-21T02:41:26.596329+00:00] still unassigned; retry in 10s
[2026-01-21T02:41:42.806263+00:00] still unassigned; retry in 10s
[2026-01-21T02:41:59.014568+00:00] still unassigned; retry in 10s
[2026-01-21T02:42:15.262380+00:00] still unassigned; retry in 10s
[2026-01-21T02:42:31.558644+00:00] still unassigned; retry in 10s
[2026-01-21T02:42:47.849729+00:00] still unassigned; retry in 10s
[2026-01-21T02:43:04.144050+00:00] still unassigned; retry in 10s
[2026-01-21T02:43:20.418795+00:00] still unassigned; retry in 10s
[2026-01-21T02:43:36.717105+00:00] still unassigned; retry in 10s
[2026-01-21T02:43:53.011133+00:00] still unassigned; retry in 10s
[2026-01-21T02:44:09.306312+00:00] still unassigned; retry in 10s
[2026-01-21T02:44:25.600994+00:00] still unassigned; retry in 10s
[2026-01-21T02:44:41.898172+00:00] still unassigned; retry in 10s
[2026-01-21T02:44:58.193434+00:00] still unassigned; retry in 10s
[2026-01-21T02:45:14.491584+00:00] still unassigned; retry in 10s
[2026-01-21T02:45:30.798761+00:00] still unassigned; retry in 10s
[2026-01-21T02:45:47.019830+00:00] still unassigned; retry in 10s
[2026-01-21T02:46:03.305904+00:00] still unassigned; retry in 10s
[2026-01-21T02:46:19.593386+00:00] still unassigned; retry in 10s
[2026-01-21T02:46:35.881690+00:00] still unassigned; retry in 10s
[2026-01-21T02:46:52.171603+00:00] still unassigned; retry in 10s
[2026-01-21T02:47:08.456559+00:00] still unassigned; retry in 10s
[2026-01-21T02:47:24.748069+00:00] still unassigned; retry in 10s
[2026-01-21T02:47:41.032984+00:00] still unassigned; retry in 10s
[2026-01-21T02:47:57.318955+00:00] still unassigned; retry in 10s
[2026-01-21T02:48:13.603698+00:00] still unassigned; retry in 10s
[2026-01-21T02:48:29.889466+00:00] still unassigned; retry in 10s
[2026-01-21T02:48:46.230704+00:00] still unassigned; retry in 10s
[2026-01-21T02:49:02.522748+00:00] still unassigned; retry in 10s
[2026-01-21T02:49:18.812577+00:00] still unassigned; retry in 10s
[2026-01-21T02:49:35.100184+00:00] still unassigned; retry in 10s
[2026-01-21T02:49:51.386189+00:00] still unassigned; retry in 10s
[2026-01-21T02:50:07.671876+00:00] still unassigned; retry in 10s
[2026-01-21T02:50:23.961132+00:00] still unassigned; retry in 10s
[2026-01-21T02:50:40.247761+00:00] still unassigned; retry in 10s
